NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 2.000 EEPS=274
#EEP,   M,    LogTeff,  LogG,   LogL, U,       B,       V,       R,       I,       J,       H,       Ks,      Kp,      D51
 189  1.369748  3.8625  3.4805  1.4976  1.1439  1.2893  1.0636  0.9002  0.7143  0.4796  0.3216  0.3237  0.9457  1.1005
 190  1.369955  3.8542  3.4455  1.4994  1.1536  1.3107  1.0648  0.8873  0.6868  0.4320  0.2575  0.2578  0.9385  1.1068
 191  1.370162  3.8455  3.4092  1.5009  1.1656  1.3350  1.0679  0.8757  0.6601  0.3842  0.1923  0.1905  0.9328  1.1154
 192  1.370366  3.8438  3.4012  1.5020  1.1662  1.3379  1.0666  0.8714  0.6529  0.3728  0.1774  0.1751  0.9296  1.1153
 193  1.370571  3.8400  3.3850  1.5032  1.1708  1.3478  1.0670  0.8654  0.6402  0.3507  0.1475  0.1443  0.9260  1.1181
 194  1.370783  3.8358  3.3673  1.5043  1.1769  1.3580  1.0678  0.8595  0.6275  0.3276  0.1159  0.1115  0.9226  1.1213
 195  1.371007  3.8168  3.2909  1.5046  1.2229  1.4215  1.0861  0.8468  0.5831  0.2356 -0.0156 -0.0250  0.9211  1.1514
 196  1.371244  3.8125  3.2738  1.5043  1.2361  1.4383  1.0918  0.8452  0.5741  0.2154 -0.0454 -0.0558  0.9220  1.1600
 197  1.371487  3.7962  3.2094  1.5042  1.2857  1.5038  1.1098  0.8343  0.5355  0.1366 -0.1582 -0.1750  0.9213  1.1901
 198  1.371739  3.7898  3.1860  1.5018  1.3161  1.5364  1.1234  0.8365  0.5268  0.1114 -0.1968 -0.2164  0.9273  1.2086
 199  1.371999  3.7827  3.1600  1.4995  1.3518  1.5725  1.1374  0.8374  0.5155  0.0827 -0.2392 -0.2628  0.9326  1.2281
 200  1.372266  3.7761  3.1367  1.4966  1.3879  1.6071  1.1531  0.8420  0.5093  0.0596 -0.2758 -0.3023  0.9406  1.2486
 201  1.372538  3.7708  3.1204  1.4918  1.4257  1.6422  1.1721  0.8520  0.5109  0.0477 -0.2986 -0.3277  0.9535  1.2718
 202  1.372821  3.7659  3.1056  1.4868  1.4634  1.6761  1.1913  0.8628  0.5136  0.0373 -0.3194 -0.3508  0.9668  1.2948
 203  1.373126  3.7613  3.0889  1.4855  1.4945  1.7008  1.2009  0.8642  0.5075  0.0197 -0.3456 -0.3799  0.9708  1.3083
 204  1.373424  3.7572  3.0748  1.4832  1.5286  1.7281  1.2121  0.8671  0.5029  0.0057 -0.3657 -0.4035  0.9763  1.3233
 205  1.373704  3.7538  3.0611  1.4833  1.5525  1.7455  1.2164  0.8648  0.4947 -0.0107 -0.3873 -0.4277  0.9760  1.3307
 206  1.373990  3.7511  3.0469  1.4869  1.5629  1.7502  1.2116  0.8551  0.4803 -0.0320 -0.4135 -0.4558  0.9678  1.3284
 207  1.374284  3.7486  3.0338  1.4901  1.5732  1.7547  1.2073  0.8464  0.4674 -0.0514 -0.4378 -0.4815  0.9603  1.3264
 208  1.374569  3.7467  3.0215  1.4945  1.5776  1.7541  1.1995  0.8349  0.4526 -0.0715 -0.4615 -0.5065  0.9499  1.3202
 209  1.374846  3.7451  3.0081  1.5021  1.5706  1.7428  1.1828  0.8155  0.4308 -0.0970 -0.4898 -0.5357  0.9314  1.3049
 210  1.375113  3.7436  2.9950  1.5091  1.5658  1.7336  1.1679  0.7978  0.4104 -0.1215 -0.5171 -0.5641  0.9144  1.2913
 211  1.375357  3.7427  2.9832  1.5173  1.5532  1.7179  1.1489  0.7771  0.3882 -0.1463 -0.5436 -0.5912  0.8942  1.2731
 212  1.375585  3.7419  2.9712  1.5264  1.5369  1.6991  1.1274  0.7545  0.3643 -0.1722 -0.5712 -0.6191  0.8718  1.2523
 213  1.375806  3.7411  2.9592  1.5349  1.5231  1.6824  1.1076  0.7330  0.3415 -0.1974 -0.5982 -0.6467  0.8508  1.2332
 214  1.376024  3.7404  2.9481  1.5438  1.5060  1.6631  1.0863  0.7108  0.3183 -0.2223 -0.6244 -0.6731  0.8288  1.2124
 215  1.376237  3.7398  2.9368  1.5524  1.4905  1.6452  1.0660  0.6892  0.2956 -0.2468 -0.6504 -0.6995  0.8077  1.1926
 216  1.376449  3.7391  2.9255  1.5611  1.4746  1.6269  1.0453  0.6675  0.2727 -0.2716 -0.6766 -0.7260  0.7862  1.1725
 217  1.376514  3.7389  2.9221  1.5637  1.4696  1.6212  1.0390  0.6608  0.2658 -0.2790 -0.6844 -0.7339  0.7796  1.1664
 218  1.376578  3.7387  2.9188  1.5664  1.4643  1.6153  1.0326  0.6541  0.2589 -0.2864 -0.6922 -0.7418  0.7731  1.1601
 219  1.376643  3.7386  2.9155  1.5690  1.4593  1.6096  1.0263  0.6475  0.2520 -0.2938 -0.7000 -0.7497  0.7665  1.1539
 220  1.376708  3.7384  2.9121  1.5717  1.4541  1.6039  1.0199  0.6409  0.2451 -0.3013 -0.7077 -0.7575  0.7599  1.1477
 221  1.376772  3.7382  2.9088  1.5743  1.4491  1.5981  1.0136  0.6342  0.2381 -0.3087 -0.7155 -0.7654  0.7534  1.1415
 222  1.376837  3.7380  2.9055  1.5770  1.4439  1.5924  1.0072  0.6276  0.2312 -0.3160 -0.7233 -0.7733  0.7468  1.1353
 223  1.376901  3.7379  2.9022  1.5797  1.4389  1.5866  1.0009  0.6210  0.2243 -0.3235 -0.7312 -0.7811  0.7403  1.1290
 224  1.376966  3.7378  2.8988  1.5823  1.4337  1.5808  0.9946  0.6143  0.2174 -0.3309 -0.7389 -0.7890  0.7337  1.1229
 225  1.377030  3.7376  2.8955  1.5850  1.4287  1.5750  0.9881  0.6077  0.2104 -0.3383 -0.7468 -0.7969  0.7270  1.1167
 226  1.377095  3.7374  2.8921  1.5876  1.4235  1.5693  0.9818  0.6010  0.2035 -0.3458 -0.7546 -0.8049  0.7205  1.1104
 227  1.378281  3.7346  2.8305  1.6385  1.3221  1.4565  0.8596  0.4742  0.0721 -0.4851 -0.9004 -0.9518  0.5949  0.9906
 228  1.378800  3.7335  2.8035  1.6614  1.2750  1.4048  0.8042  0.4170  0.0132 -0.5473 -0.9652 -1.0169  0.5381  0.9360
 229  1.379826  3.7315  2.7499  1.7073  1.1804  1.3008  0.6932  0.3025 -0.1046 -0.6711 -1.0935 -1.1460  0.4245  0.8267
 230  1.380440  3.7303  2.7175  1.7351  1.1232  1.2380  0.6258  0.2329 -0.1762 -0.7459 -1.1710 -1.2240  0.3556  0.7604
 231  1.381254  3.7289  2.6740  1.7732  1.0442  1.1515  0.5335  0.1378 -0.2737 -0.8475 -1.2755 -1.3293  0.2612  0.6695
 232  1.382104  3.7272  2.6242  1.8167  0.9541  1.0526  0.4276  0.0287 -0.3858 -0.9640 -1.3949 -1.4497  0.1531  0.5652
 233  1.382615  3.7262  2.5902  1.8464  0.8924  0.9849  0.3552 -0.0460 -0.4625 -1.0435 -1.4764 -1.5318  0.0790  0.4938
 234  1.383208  3.7248  2.5486  1.8829  0.8175  0.9024  0.2667 -0.1372 -0.5562 -1.1407 -1.5759 -1.6321 -0.0115  0.4068
 235  1.383731  3.7236  2.5092  1.9175  0.7464  0.8241  0.1827 -0.2239 -0.6452 -1.2331 -1.6707 -1.7276 -0.0974  0.3240
 236  1.384177  3.7224  2.4734  1.9486  0.6830  0.7540  0.1073 -0.3016 -0.7250 -1.3165 -1.7568 -1.8143 -0.1745  0.2499
 237  1.384593  3.7211  2.4377  1.9794  0.6214  0.6851  0.0332 -0.3781 -0.8038 -1.3990 -1.8422 -1.9003 -0.2504  0.1770
 238  1.385073  3.7196  2.3946  2.0165  0.5475  0.6024 -0.0561 -0.4705 -0.8988 -1.4988 -1.9456 -2.0043 -0.3419  0.0891
 239  1.385477  3.7182  2.3561  2.0496  0.4822  0.5290 -0.1356 -0.5526 -0.9835 -1.5877 -2.0380 -2.0973 -0.4234  0.0110
 240  1.385817  3.7170  2.3218  2.0791  0.4246  0.4640 -0.2062 -0.6256 -1.0588 -1.6668 -2.1202 -2.1801 -0.4958 -0.0584
 241  1.386180  3.7156  2.2837  2.1117  0.3610  0.3921 -0.2845 -0.7066 -1.1422 -1.7546 -2.2116 -2.2719 -0.5760 -0.1352
 242  1.386527  3.7142  2.2451  2.1447  0.2975  0.3197 -0.3635 -0.7884 -1.2267 -1.8437 -2.3042 -2.3651 -0.6572 -0.2128
 243  1.386847  3.7128  2.2078  2.1767  0.2365  0.2498 -0.4398 -0.8675 -1.3082 -1.9296 -2.3937 -2.4551 -0.7356 -0.2877
 244  1.387153  3.7114  2.1700  2.2090  0.1752  0.1795 -0.5170 -0.9475 -1.3909 -2.0166 -2.4844 -2.5463 -0.8148 -0.3634
 245  1.387435  3.7101  2.1335  2.2401  0.1166  0.1119 -0.5912 -1.0245 -1.4704 -2.1005 -2.5718 -2.6340 -0.8911 -0.4364
 246  1.387687  3.7088  2.0993  2.2696  0.0619  0.0484 -0.6612 -1.0972 -1.5455 -2.1796 -2.6540 -2.7168 -0.9631 -0.5048
 247  1.387950  3.7075  2.0619  2.3015  0.0031 -0.0201 -0.7372 -1.1762 -1.6272 -2.2656 -2.7433 -2.8068 -1.0413 -0.5793
 248  1.388184  3.7062  2.0269  2.3314 -0.0510 -0.0837 -0.8081 -1.2503 -1.7039 -2.3460 -2.8263 -2.8905 -1.1145 -0.6486
 249  1.388403  3.7048  1.9925  2.3608 -0.1035 -0.1460 -0.8780 -1.3233 -1.7795 -2.4253 -2.9081 -2.9730 -1.1867 -0.7170
 250  1.388619  3.7034  1.9566  2.3911 -0.1556 -0.2090 -0.9497 -1.3985 -1.8578 -2.5075 -2.9927 -3.0586 -1.2610 -0.7868
 251  1.388820  3.7020  1.9216  2.4206 -0.2052 -0.2697 -1.0191 -1.4715 -1.9338 -2.5874 -3.0751 -3.1420 -1.3331 -0.8544
 252  1.389006  3.7007  1.8878  2.4491 -0.2528 -0.3281 -1.0862 -1.5421 -2.0072 -2.6647 -3.1549 -3.2227 -1.4027 -0.9197
 253  1.389188  3.6993  1.8531  2.4783 -0.3009 -0.3877 -1.1547 -1.6142 -2.0822 -2.7439 -3.2368 -3.3055 -1.4739 -0.9863
 254  1.389352  3.6980  1.8207  2.5055 -0.3450 -0.4429 -1.2184 -1.6813 -2.1521 -2.8178 -3.3135 -3.3830 -1.5400 -1.0482
 255  1.389516  3.6967  1.7875  2.5334 -0.3899 -0.4992 -1.2835 -1.7497 -2.2234 -2.8935 -3.3923 -3.4624 -1.6077 -1.1117
 256  1.389668  3.6954  1.7562  2.5598 -0.4317 -0.5523 -1.3450 -1.8145 -2.2909 -2.9650 -3.4670 -3.5377 -1.6716 -1.1714
 257  1.389812  3.6943  1.7283  2.5833 -0.4686 -0.5993 -1.3996 -1.8720 -2.3508 -3.0287 -3.5335 -3.6047 -1.7284 -1.2245
 258  1.389951  3.6935  1.7074  2.6010 -0.4966 -0.6348 -1.4407 -1.9152 -2.3958 -3.0764 -3.5832 -3.6548 -1.7711 -1.2645
 259  1.390083  3.6936  1.7093  2.5996 -0.4955 -0.6328 -1.4379 -1.9121 -2.3925 -3.0726 -3.5792 -3.6506 -1.7680 -1.2618
 260  1.390231  3.6961  1.7660  2.5527 -0.4253 -0.5409 -1.3295 -1.7975 -2.2725 -2.9447 -3.4453 -3.5155 -1.6550 -1.1568
 261  1.390410  3.6966  1.7743  2.5466 -0.4192 -0.5308 -1.3161 -1.7827 -2.2566 -2.9271 -3.4266 -3.4965 -1.6405 -1.1440
 262  1.390595  3.6946  1.7271  2.5860 -0.4801 -0.6091 -1.4075 -1.8792 -2.3574 -3.0343 -3.5384 -3.6094 -1.7357 -1.2328
 263  1.390762  3.6929  1.6849  2.6214 -0.5348 -0.6795 -1.4898 -1.9659 -2.4479 -3.1304 -3.6390 -3.7107 -1.8213 -1.3126
 264  1.390916  3.6913  1.6447  2.6553 -0.5862 -0.7465 -1.5679 -2.0484 -2.5340 -3.2221 -3.7347 -3.8071 -1.9028 -1.3886
 265  1.391060  3.6898  1.6053  2.6884 -0.6357 -0.8116 -1.6443 -2.1290 -2.6182 -3.3117 -3.8283 -3.9015 -1.9824 -1.4625
 266  1.391195  3.6882  1.5668  2.7208 -0.6838 -0.8752 -1.7190 -2.2081 -2.7007 -3.3994 -3.9200 -3.9939 -2.0604 -1.5350
 267  1.391318  3.6868  1.5300  2.7518 -0.7285 -0.9354 -1.7900 -2.2833 -2.7794 -3.4831 -4.0075 -4.0820 -2.1345 -1.6037
 268  1.391434  3.6852  1.4936  2.7823 -0.7715 -0.9943 -1.8599 -2.3573 -2.8570 -3.5659 -4.0942 -4.1693 -2.2077 -1.6712
 269  1.391542  3.6837  1.4579  2.8119 -0.8101 -1.0496 -1.9270 -2.4290 -2.9323 -3.6466 -4.1789 -4.2546 -2.2783 -1.7359
 270  1.391643  3.6822  1.4229  2.8409 -0.8464 -1.1031 -1.9922 -2.4989 -3.0059 -3.7256 -4.2618 -4.3384 -2.3470 -1.7986
 271  1.391737  3.6808  1.3880  2.8698 -0.8816 -1.1558 -2.0571 -2.5685 -3.0794 -3.8044 -4.3447 -4.4219 -2.4156 -1.8608
 272  1.391825  3.6792  1.3532  2.8986 -0.9150 -1.2075 -2.1213 -2.6375 -3.1524 -3.8829 -4.4272 -4.5051 -2.4835 -1.9224
 273  1.391909  3.6778  1.3194  2.9267 -0.9461 -1.2570 -2.1835 -2.7047 -3.2234 -3.9593 -4.5073 -4.5860 -2.5496 -1.9818
 274  1.391986  3.6764  1.2876  2.9530 -0.9738 -1.3028 -2.2416 -2.7677 -3.2903 -4.0312 -4.5825 -4.6621 -2.6115 -2.0372
 275  1.392059  3.6750  1.2562  2.9788 -0.9998 -1.3470 -2.2985 -2.8296 -3.3559 -4.1018 -4.6562 -4.7368 -2.6722 -2.0914
 276  1.392128  3.6737  1.2258  3.0039 -1.0239 -1.3895 -2.3535 -2.8895 -3.4196 -4.1704 -4.7277 -4.8093 -2.7311 -2.1436
 277  1.392192  3.6724  1.1964  3.0282 -1.0464 -1.4302 -2.4067 -2.9474 -3.4813 -4.2367 -4.7968 -4.8793 -2.7881 -2.1939
 278  1.392230  3.6712  1.1680  3.0516 -1.0674 -1.4692 -2.4577 -3.0032 -3.5408 -4.3007 -4.8633 -4.9470 -2.8428 -2.2423
