NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
 193  1.042914  3.7447  3.1763  1.2119  2.2966  2.4765  1.9101  1.5406  1.1542  0.6265  0.2354  0.1871  1.6572  2.0333
 194  1.043106  3.7436  3.1602  1.2236  2.2770  2.4531  1.8826  1.5110  1.1226  0.5921  0.1990  0.1499  1.6282  2.0067
 195  1.043295  3.7426  3.1444  1.2356  2.2555  2.4282  1.8541  1.4807  1.0908  0.5577  0.1629  0.1133  1.5985  1.9791
 196  1.043481  3.7417  3.1288  1.2476  2.2338  2.4031  1.8256  1.4506  1.0590  0.5236  0.1270  0.0768  1.5688  1.9515
 197  1.043665  3.7409  3.1136  1.2598  2.2102  2.3766  1.7964  1.4199  1.0271  0.4895  0.0914  0.0408  1.5385  1.9229
 198  1.043847  3.7401  3.0983  1.2719  2.1867  2.3502  1.7672  1.3894  0.9954  0.4556  0.0559  0.0048  1.5084  1.8944
 199  1.044028  3.7394  3.0833  1.2843  2.1620  2.3228  1.7376  1.3586  0.9635  0.4218  0.0206 -0.0308  1.4779  1.8652
 200  1.044207  3.7387  3.0684  1.2965  2.1373  2.2954  1.7079  1.3279  0.9315  0.3880 -0.0147 -0.0664  1.4474  1.8362
 201  1.044385  3.7381  3.0535  1.3090  2.1118  2.2675  1.6778  1.2967  0.8995  0.3541 -0.0498 -0.1018  1.4166  1.8066
 202  1.044562  3.7375  3.0388  1.3214  2.0862  2.2395  1.6478  1.2657  0.8675  0.3204 -0.0849 -0.1371  1.3859  1.7771
 203  1.044738  3.7369  3.0241  1.3339  2.0599  2.2109  1.6175  1.2345  0.8355  0.2867 -0.1198 -0.1724  1.3548  1.7472
 204  1.044913  3.7364  3.0095  1.3464  2.0338  2.1825  1.5871  1.2032  0.8034  0.2530 -0.1548 -0.2076  1.3239  1.7172
 205  1.045087  3.7358  2.9949  1.3590  2.0074  2.1538  1.5567  1.1719  0.7711  0.2192 -0.1900 -0.2429  1.2927  1.6872
 206  1.045260  3.7353  2.9801  1.3715  1.9808  2.1249  1.5262  1.1405  0.7388  0.1853 -0.2251 -0.2782  1.2616  1.6571
 207  1.045432  3.7347  2.9655  1.3842  1.9543  2.0960  1.4954  1.1090  0.7065  0.1513 -0.2604 -0.3137  1.2302  1.6268
 208  1.045602  3.7342  2.9507  1.3968  1.9276  2.0670  1.4647  1.0773  0.6740  0.1173 -0.2956 -0.3492  1.1988  1.5965
 209  1.045772  3.7337  2.9360  1.4096  1.9007  2.0378  1.4339  1.0456  0.6415  0.0832 -0.3311 -0.3847  1.1674  1.5661
 210  1.045940  3.7332  2.9213  1.4224  1.8735  2.0084  1.4028  1.0138  0.6089  0.0491 -0.3664 -0.4202  1.1357  1.5354
 211  1.046108  3.7327  2.9066  1.4352  1.8464  1.9789  1.3717  0.9819  0.5761  0.0149 -0.4018 -0.4558  1.1040  1.5048
 212  1.046274  3.7322  2.8918  1.4481  1.8191  1.9493  1.3406  0.9499  0.5434 -0.0194 -0.4373 -0.4914  1.0722  1.4740
 213  1.046439  3.7317  2.8771  1.4609  1.7915  1.9196  1.3091  0.9177  0.5105 -0.0538 -0.4728 -0.5272  1.0402  1.4429
 214  1.046603  3.7312  2.8623  1.4739  1.7641  1.8898  1.2777  0.8855  0.4774 -0.0882 -0.5085 -0.5630  1.0082  1.4119
 215  1.046765  3.7308  2.8474  1.4868  1.7365  1.8598  1.2460  0.8531  0.4442 -0.1229 -0.5443 -0.5990  0.9759  1.3806
 216  1.046922  3.7303  2.8324  1.5000  1.7084  1.8294  1.2140  0.8201  0.4105 -0.1579 -0.5805 -0.6353  0.9433  1.3491
 217  1.046964  3.7301  2.8283  1.5037  1.7007  1.8211  1.2051  0.8110  0.4012 -0.1676 -0.5905 -0.6453  0.9343  1.3403
 218  1.047005  3.7300  2.8241  1.5074  1.6928  1.8126  1.1961  0.8018  0.3918 -0.1774 -0.6006 -0.6555  0.9251  1.3314
 219  1.047047  3.7299  2.8199  1.5111  1.6849  1.8041  1.1871  0.7926  0.3825 -0.1872 -0.6106 -0.6656  0.9160  1.3225
 220  1.047088  3.7298  2.8157  1.5148  1.6772  1.7956  1.1782  0.7835  0.3730 -0.1970 -0.6207 -0.6757  0.9068  1.3137
 221  1.047130  3.7296  2.8115  1.5185  1.6692  1.7870  1.1691  0.7742  0.3635 -0.2069 -0.6309 -0.6860  0.8976  1.3047
 222  1.047171  3.7295  2.8072  1.5222  1.6613  1.7784  1.1600  0.7649  0.3540 -0.2167 -0.6411 -0.6962  0.8883  1.2958
 223  1.047212  3.7294  2.8030  1.5258  1.6534  1.7698  1.1510  0.7556  0.3445 -0.2266 -0.6513 -0.7065  0.8792  1.2868
 224  1.047252  3.7292  2.7988  1.5296  1.6454  1.7611  1.1418  0.7461  0.3347 -0.2368 -0.6617 -0.7170  0.8697  1.2778
 225  1.047292  3.7291  2.7944  1.5335  1.6372  1.7522  1.1324  0.7364  0.3249 -0.2470 -0.6722 -0.7276  0.8601  1.2685
 226  1.047332  3.7290  2.7900  1.5373  1.6291  1.7434  1.1230  0.7268  0.3151 -0.2573 -0.6827 -0.7381  0.8506  1.2593
 227  1.047704  3.7276  2.7471  1.5751  1.5494  1.6568  1.0312  0.6326  0.2185 -0.3576 -0.7859 -0.8419  0.7569  1.1687
 228  1.048054  3.7263  2.7030  1.6139  1.4678  1.5678  0.9366  0.5354  0.1189 -0.4608 -0.8918 -0.9485  0.6604  1.0754
 229  1.048321  3.7252  2.6669  1.6457  1.4013  1.4952  0.8593  0.4558  0.0373 -0.5454 -0.9784 -1.0357  0.5815  0.9991
 230  1.048632  3.7238  2.6222  1.6851  1.3196  1.4056  0.7636  0.3573 -0.0637 -0.6502 -1.0857 -1.1438  0.4839  0.9049
 231  1.048915  3.7224  2.5781  1.7239  1.2392  1.3173  0.6695  0.2605 -0.1630 -0.7533 -1.1916 -1.2505  0.3877  0.8121
 232  1.049178  3.7211  2.5342  1.7624  1.1597  1.2299  0.5764  0.1646 -0.2614 -0.8556 -1.2969 -1.3562  0.2925  0.7203
 233  1.049420  3.7197  2.4912  1.8001  1.0821  1.1444  0.4849  0.0705 -0.3577 -0.9562 -1.4007 -1.4606  0.1992  0.6302
 234  1.049643  3.7183  2.4484  1.8371  1.0074  1.0613  0.3956 -0.0216 -0.4523 -1.0552 -1.5033 -1.5638  0.1078  0.5422
 235  1.049848  3.7168  2.4061  1.8737  0.9345  0.9796  0.3076 -0.1123 -0.5457 -1.1532 -1.6050 -1.6660  0.0177  0.4556
 236  1.050052  3.7153  2.3612  1.9124  0.8579  0.8935  0.2145 -0.2084 -0.6447 -1.2570 -1.7127 -1.7744 -0.0777  0.3641
 237  1.050225  3.7138  2.3204  1.9476  0.7892  0.8159  0.1303 -0.2955 -0.7344 -1.3512 -1.8107 -1.8729 -0.1639  0.2813
 238  1.050407  3.7122  2.2747  1.9870  0.7128  0.7291  0.0358 -0.3932 -0.8350 -1.4570 -1.9206 -1.9834 -0.2608  0.1886
 239  1.050564  3.7107  2.2326  2.0231  0.6434  0.6499 -0.0506 -0.4826 -0.9271 -1.5540 -2.0215 -2.0848 -0.3494  0.1037
 240  1.050706  3.7093  2.1916  2.0584  0.5766  0.5732 -0.1345 -0.5696 -1.0169 -1.6485 -2.1198 -2.1836 -0.4357  0.0212
 241  1.050845  3.7078  2.1495  2.0946  0.5086  0.4946 -0.2209 -0.6591 -1.1093 -1.7457 -2.2208 -2.2852 -0.5244 -0.0635
 242  1.050977  3.7063  2.1066  2.1313  0.4403  0.4153 -0.3085 -0.7502 -1.2034 -1.8444 -2.3229 -2.3881 -0.6145 -0.1493
 243  1.051096  3.7048  2.0653  2.1669  0.3755  0.3394 -0.3931 -0.8383 -1.2945 -1.9399 -2.4213 -2.4874 -0.7017 -0.2320
 244  1.051206  3.7034  2.0253  2.2012  0.3136  0.2663 -0.4747 -0.9235 -1.3827 -2.0320 -2.5163 -2.5832 -0.7860 -0.3119
 245  1.051309  3.7019  1.9849  2.2358  0.2528  0.1936 -0.5566 -1.0091 -1.4714 -2.1251 -2.6119 -2.6798 -0.8706 -0.3918
 246  1.051407  3.7003  1.9441  2.2703  0.1942  0.1222 -0.6380 -1.0947 -1.5603 -2.2185 -2.7082 -2.7772 -0.9551 -0.4711
 247  1.051499  3.6988  1.9035  2.3045  0.1368  0.0518 -0.7186 -1.1793 -1.6483 -2.3112 -2.8040 -2.8741 -1.0387 -0.5496
 248  1.051584  3.6972  1.8650  2.3372  0.0831 -0.0148 -0.7951 -1.2595 -1.7319 -2.3995 -2.8958 -2.9667 -1.1179 -0.6241
 249  1.051663  3.6958  1.8277  2.3687  0.0319 -0.0788 -0.8687 -1.3369 -1.8123 -2.4846 -2.9846 -3.0560 -1.1943 -0.6958
 250  1.051737  3.6945  1.7938  2.3974 -0.0143 -0.1367 -0.9355 -1.4071 -1.8854 -2.5622 -3.0653 -3.1374 -1.2637 -0.7609
 251  1.051808  3.6936  1.7697  2.4178 -0.0474 -0.1783 -0.9834 -1.4573 -1.9375 -2.6173 -3.1227 -3.1954 -1.3132 -0.8074
 252  1.051878  3.6939  1.7760  2.4130 -0.0425 -0.1704 -0.9728 -1.4459 -1.9253 -2.6039 -3.1085 -3.1808 -1.3021 -0.7974
 253  1.051954  3.6950  1.7979  2.3953 -0.0178 -0.1368 -0.9323 -1.4027 -1.8799 -2.5550 -3.0571 -3.1289 -1.2595 -0.7583
 254  1.052036  3.6932  1.7530  2.4333 -0.0782 -0.2133 -1.0208 -1.4958 -1.9768 -2.6578 -3.1643 -3.2369 -1.3515 -0.8444
 255  1.052111  3.6914  1.7054  2.4734 -0.1403 -0.2932 -1.1137 -1.5936 -2.0788 -2.7661 -3.2775 -3.3509 -1.4480 -0.9346
 256  1.052179  3.6895  1.6600  2.5116 -0.1989 -0.3693 -1.2023 -1.6870 -2.1762 -2.8696 -3.3856 -3.4599 -1.5404 -1.0206
 257  1.052241  3.6878  1.6158  2.5488 -0.2546 -0.4426 -1.2881 -1.7776 -2.2708 -2.9703 -3.4908 -3.5658 -1.6298 -1.1039
 258  1.052299  3.6861  1.5712  2.5865 -0.3101 -0.5164 -1.3747 -1.8690 -2.3663 -3.0718 -3.5969 -3.6727 -1.7201 -1.1877
 259  1.052351  3.6844  1.5296  2.6216 -0.3604 -0.5846 -1.4552 -1.9543 -2.4554 -3.1668 -3.6961 -3.7727 -1.8042 -1.2655
 260  1.052400  3.6828  1.4886  2.6559 -0.4078 -0.6503 -1.5334 -2.0374 -2.5425 -3.2597 -3.7935 -3.8707 -1.8862 -1.3411
 261  1.052446  3.6811  1.4479  2.6898 -0.4506 -0.7130 -1.6096 -2.1189 -2.6284 -3.3517 -3.8902 -3.9681 -1.9665 -1.4145
 262  1.052488  3.6793  1.4084  2.7226 -0.4899 -0.7726 -1.6832 -2.1978 -2.7115 -3.4412 -3.9843 -4.0630 -2.0441 -1.4850
 263  1.052526  3.6778  1.3695  2.7549 -0.5270 -0.8305 -1.7552 -2.2753 -2.7935 -3.5291 -4.0767 -4.1563 -2.1205 -1.5540
 264  1.052562  3.6760  1.3315  2.7863 -0.5612 -0.8859 -1.8247 -2.3506 -2.8731 -3.6148 -4.1664 -4.2469 -2.1944 -1.6204
 265  1.052596  3.6744  1.2942  2.8171 -0.5932 -0.9394 -1.8929 -2.4245 -2.9515 -3.6990 -4.2543 -4.3361 -2.2671 -1.6854
 266  1.052627  3.6728  1.2580  2.8472 -0.6226 -0.9906 -1.9589 -2.4961 -3.0276 -3.7808 -4.3396 -4.4226 -2.3375 -1.7481
 267  1.052657  3.6713  1.2219  2.8770 -0.6509 -1.0411 -2.0242 -2.5673 -3.1033 -3.8622 -4.4244 -4.5084 -2.4075 -1.8100
 268  1.052684  3.6697  1.1868  2.9060 -0.6771 -1.0898 -2.0872 -2.6362 -3.1767 -3.9411 -4.5066 -4.5918 -2.4752 -1.8698
 269  1.052710  3.6682  1.1523  2.9344 -0.7018 -1.1371 -2.1489 -2.7037 -3.2486 -4.0186 -4.5876 -4.6737 -2.5414 -1.9281
 270  1.052734  3.6667  1.1184  2.9623 -0.7246 -1.1827 -2.2089 -2.7696 -3.3190 -4.0948 -4.6673 -4.7544 -2.6062 -1.9849
 271  1.052757  3.6653  1.0851  2.9897 -0.7460 -1.2272 -2.2676 -2.8339 -3.3879 -4.1695 -4.7458 -4.8337 -2.6695 -2.0402
 272  1.052777  3.6638  1.0528  3.0164 -0.7656 -1.2696 -2.3241 -2.8962 -3.4546 -4.2419 -4.8221 -4.9108 -2.7307 -2.0935
 273  1.052797  3.6624  1.0208  3.0426 -0.7841 -1.3112 -2.3798 -2.9575 -3.5203 -4.3136 -4.8977 -4.9872 -2.7910 -2.1459
 274  1.052816  3.6610  0.9892  3.0684 -0.7999 -1.3507 -2.4338 -3.0175 -3.5848 -4.3841 -4.9724 -5.0626 -2.8498 -2.1964
 275  1.052833  3.6595  0.9579  3.0938 -0.8120 -1.3875 -2.4858 -3.0757 -3.6478 -4.4534 -5.0460 -5.1370 -2.9070 -2.2449
 276  1.052850  3.6580  0.9274  3.1184 -0.8224 -1.4227 -2.5361 -3.1322 -3.7090 -4.5210 -5.1177 -5.2096 -2.9625 -2.2916
 277  1.052866  3.6565  0.8973  3.1426 -0.8311 -1.4564 -2.5850 -3.1874 -3.7689 -4.5872 -5.1882 -5.2808 -3.0166 -2.3368
 278  1.052881  3.6551  0.8686  3.1656 -0.8379 -1.4877 -2.6314 -3.2399 -3.8261 -4.6506 -5.2556 -5.3490 -3.0681 -2.3796
 279  1.052895  3.6538  0.8418  3.1872 -0.8435 -1.5165 -2.6742 -3.2887 -3.8793 -4.7096 -5.3185 -5.4126 -3.1159 -2.4191
